,Z1,Z2,merged_branchcoords,tips_type
20072,1.5863655523903,0.460695300709943,5,pheno5_2
20073,-2.60912842167393,0.383362980018509,2,pheno2_31
20074,-1.65453042710004,0.0470728630799708,2,pheno2_1
20075,-1.7459141404416,0.089248608527059,2,pheno2_1
20076,-1.18311240319686,-0.399393862767637,2,pheno2_1
20077,-1.52470487997025,-0.0978822645669353,2,pheno2_1
20078,-1.41708029883909,0.60597139109216,2,pheno2_4
20079,-1.21098776800711,-0.425451427592379,3,pheno3_2
20080,0.063934687334905,-2.02544291640059,6,pheno6_1
20081,-0.992702552690914,-0.667266697652644,3,pheno3_41
20082,-1.10745507942618,-0.459743408528036,3,pheno3_2
20083,-1.51856520628527,-0.138652433102175,2,pheno2_1
20084,-1.21580078343219,-0.449867737074688,3,pheno3_2
20085,-0.657207512680051,-0.453764106791689,3,pheno3_3
20086,-2.12091673610297,1.00118039868077,1,pheno1_left1
20087,-1.07694654876968,-1.06197020030029,3,pheno3_41
20088,3.0138982464521,0.255521567200192,5,pheno5_31
20089,-1.21968318045239,-1.44491775213762,3,pheno3_42
20090,-1.19961606375524,-1.36396612767747,3,pheno3_42
20091,-0.631171686268361,-0.425844835156449,3,pheno3_3
20092,-2.20816164797954,0.99222757169324,1,pheno1_left1
20093,-2.06140970193276,1.17725418903437,1,pheno1_right1
20094,-2.4167205212398,1.1232581458196,1,pheno1_left1
20095,-2.06770042942045,1.23851619160638,1,pheno1_right1
20096,-2.60245226851555,0.393751841337942,2,pheno2_31
20097,-1.99440070816062,0.75712220571257,2,pheno2_5
20098,-1.95823883061903,-0.0109309475257165,2,pheno2_2
20099,-2.73744534014469,1.41353638022813,1,pheno1_left1
20100,-1.95612062466749,1.79326331160523,1,pheno1_right1
20101,-1.78094956822851,0.481094611678281,2,pheno2_4
20102,-1.46909612574224,-0.162647339544721,2,pheno2_1
20103,-1.4792768053465,0.563731965172211,2,pheno2_4
20104,-1.24172808312005,0.749713263586204,2,pheno2_4
20105,-1.47737467322064,0.564539290092642,2,pheno2_4
20106,-1.32627191618863,0.69915364724386,2,pheno2_4
20107,-1.58062649821777,-0.0241695945631522,2,pheno2_1
20108,-1.3684211013274,0.668658840463036,2,pheno2_4
20109,-1.27172566675337,0.726101922584099,2,pheno2_4
20110,-1.27645757781603,0.717530644980312,2,pheno2_4
20111,-1.30835068865167,0.751100191093119,2,pheno2_4
20112,-1.45315069104175,0.585130617130103,2,pheno2_4
20113,-0.645992072999783,-0.339172697922732,3,pheno3_3
20114,1.56046778216238,0.511175280500608,5,pheno5_2
20115,2.58928511445101,1.55001513085987,5,pheno5_6
20116,2.62501364464256,1.53536395435036,5,pheno5_6
20117,2.62949532257248,1.59619050347334,5,pheno5_6
20118,2.60525590681367,1.53361224018414,5,pheno5_6
20119,2.54745346919191,1.53635616762028,5,pheno5_6
20120,2.59292606993751,1.51897087757603,5,pheno5_6
20121,2.53917043103144,1.45145436113662,5,pheno5_6
20122,-2.66680811547342,0.456484693431569,2,pheno2_32
20123,0.236832408801294,-2.26453860257767,6,pheno6_1
20124,-1.95417300764692,0.827413628641227,2,pheno2_5
20125,-1.83016447049811,0.481441000136854,2,pheno2_4
20126,-1.94705794501926,-0.0216516881815118,2,pheno2_2
20127,-2.4991993043838,1.18413835135365,1,pheno1_left1
20128,-2.79415963540264,1.45319972539659,1,pheno1_left1
20129,-2.61993395205531,0.436979496450664,2,pheno2_31
20130,-2.5759378609077,1.2419855014271,1,pheno1_left1
20131,-2.60137815137715,0.411256802233131,2,pheno2_31
20132,-2.94731541078228,1.5365213099963,1,pheno1_left1
20133,-2.82982812802494,1.48649622980963,1,pheno1_left1
20134,-2.60980871494826,0.385033930822989,2,pheno2_31
20135,-2.76410713495327,1.42060112164741,1,pheno1_left1
20136,2.90346509847685,0.243919489563957,5,pheno5_31
20137,3.02265520896176,0.296752972849029,5,pheno5_31
20138,2.87479104970191,0.253807491299784,5,pheno5_31
20139,3.13909705918172,0.273954140801548,5,pheno5_32
20140,3.01093833048987,0.227715257236014,5,pheno5_31
20141,2.882143095998,0.23764504886464,5,pheno5_31
20142,3.02075522228998,0.232726317349482,5,pheno5_31
20143,2.71233987339,0.166464622614647,5,pheno5_31
20144,-1.19592371297761,-0.43789333117008,3,pheno3_2
20145,3.25120481506281,0.291273693092555,5,pheno5_32
20146,3.15999272278137,0.303840375517879,5,pheno5_32
20147,-1.20431067472214,-0.438472580495784,3,pheno3_2
20148,3.18669671259082,0.246328397832161,5,pheno5_32
20149,3.22956234855765,0.248884822428366,5,pheno5_32
20150,3.18805590382571,0.290822519280809,5,pheno5_32
20151,-1.32388376693215,-0.312659073008701,2,pheno2_1
20152,3.22807053651798,0.297558163111223,5,pheno5_32
20153,3.15657071572466,0.278772006794616,5,pheno5_32
20154,-0.264912250484427,-0.806836712648145,3,pheno3_1
20155,-2.6496182154971,0.473936896677234,2,pheno2_32
20156,-1.2199992542283,-0.427761083246834,2,pheno2_1
20157,-1.13037209957929,-1.31064155584895,3,pheno3_41
20158,3.1389962296648,0.273344931698836,5,pheno5_32
20159,3.11973796453021,0.323393606255939,5,pheno5_32
20160,3.12636786263592,0.307649301180588,5,pheno5_32
